Date,Open,High,Low,Close,Adj Close,Volume
2022-09-14,307.799988,328.779999,306.010010,326.410004,326.410004,6929006
2022-09-15,323.000000,325.000000,302.630005,311.000000,311.000000,8247372
2022-09-16,308.000000,323.880005,306.000000,315.760010,315.760010,6551925
2022-09-19,313.100006,325.000000,312.399994,316.000000,316.000000,6456812
2022-09-20,316.000000,317.899994,297.850006,310.350006,310.350006,5605989
2022-09-21,307.019989,309.230011,296.299988,297.220001,297.220001,5777273
2022-09-22,295.019989,300.000000,289.410004,295.880005,295.880005,4305216
2022-09-23,296.000000,297.890015,282.829987,285.000000,285.000000,5297733
2022-09-26,281.119995,296.500000,281.049988,291.049988,291.049988,4877415
2022-09-27,291.100006,300.649994,288.980011,294.980011,294.980011,4667201
2022-09-28,294.959991,294.989990,283.029999,285.220001,285.220001,3228496
2022-09-29,285.380005,293.799988,277.799988,291.779999,291.779999,4846347
2022-09-30,294.799988,294.799988,278.019989,278.399994,278.399994,4407241
2022-10-10,265.000000,265.000000,250.559998,250.559998,250.559998,4378845
2022-10-11,238.000000,240.000000,225.500000,225.500000,225.500000,12058784
2022-10-12,221.509995,232.990005,211.970001,232.000000,232.000000,16605811
2022-10-13,225.160004,231.000000,220.960007,221.800003,221.800003,12346999
2022-10-14,226.199997,226.880005,213.110001,224.880005,224.880005,15470881
2022-10-17,219.429993,245.440002,218.559998,243.000000,243.000000,17190425
2022-10-18,240.000000,241.800003,233.300003,238.899994,238.899994,9929420
2022-10-19,236.789993,244.070007,234.279999,241.000000,241.000000,7729391
2022-10-20,238.000000,265.100006,237.929993,265.100006,265.100006,11212496
2022-10-21,260.000000,270.890015,248.949997,262.619995,262.619995,11068957
2022-10-24,259.000000,275.540009,257.000000,265.899994,265.899994,9340640
2022-10-25,262.200012,271.880005,258.309998,261.690002,261.690002,7422287
2022-10-26,261.000000,268.000000,257.660004,261.799988,261.799988,8427807
2022-10-27,260.230011,268.079987,255.610001,262.950012,262.950012,8877930
2022-10-28,258.779999,274.000000,258.000000,265.899994,265.899994,8845930
2022-10-31,267.970001,273.850006,260.510010,265.700012,265.700012,8226510
2022-11-01,263.000000,265.989990,258.000000,264.920013,264.920013,7251829
2022-11-02,262.799988,270.000000,259.899994,261.649994,261.649994,7691584
2022-11-03,258.000000,271.649994,257.000000,267.500000,267.500000,8013108
2022-11-04,266.070007,274.470001,261.700012,272.600006,272.600006,9602239
